Date,market_kospi,bond_k3y,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
2020-02-25,2103.610107,57490,0.9783022398146722,0.9597939260507862,0.9666783187668327,0.9896298706540684,1.0016377447905778,1.00323709307297,1.0074152820815359,1.0088686202637993
2020-02-26,2076.77002,57490,0.9779699156503482,0.9545866146757412,0.9547179136463395,0.9764543340271117,1.0007136764782676,1.0027558780436754,1.0072343687265028,1.0088236240323114
2020-02-27,2054.889893,57420,0.9806530708106689,0.9523241805565537,0.9451206888243636,0.9658371381461065,0.9991995266766436,1.0011856604826335,1.0058493532428365,1.0075591796984955
2020-02-28,1987.01001,57545,0.9644443608637864,0.9319475379215667,0.914607956913626,0.9338671263880962,1.0009915112719177,1.0027445001089088,1.007863948437719,1.0096839236340083
2020-03-02,2002.51001,57560,0.9792426065308232,0.9498946686586859,0.9223751770165016,0.9410162094961243,1.0010260691118416,1.002342165066042,1.0079339484563312,1.0098777128620804
2020-03-03,2014.150024,57585,0.9936282452299051,0.964323638674336,0.9282349213507302,0.9463911166242881,1.0011300417246176,1.0022103101395803,1.0081628186891345,1.0102424804170675
2020-03-04,2059.330078,57670,1.0176677523411486,0.9931350361742544,0.9491261535025458,0.967413174283776,1.0019806796858712,1.002912916829703,1.009437402453433,1.011642720723078
2020-03-05,2085.26001,57650,1.0273977917774566,1.0110150449337396,0.9608960333543005,0.9793024376858387,1.0008333043991529,1.0020161991170438,1.0088798342158722,1.01120245097466
2020-03-06,2040.219971,57650,0.9999637073875995,0.9950938164413137,0.940442085949887,0.9580727437789929,1.0004685629002308,1.001641893476731,1.0086680129181824,1.0111204246179615
2020-03-09,1954.77002,57630,0.9625871478612809,0.9592306047166342,0.9019815380623701,0.9182238511858506,0.999878550236827,1.0010595980475603,1.0081049562682216,1.0106883995752993
2020-03-10,1962.930054,57585,0.9715061049966481,0.969930607846798,0.9066886085487634,0.9223683882859007,0.9990978017592865,1.0001128893597437,1.0071357363975024,1.0098224678265406
2020-03-11,1908.27002,57620,0.958789927909074,0.9508384488191709,0.8827820245449054,0.8972248626764724,0.9998785291616776,1.0004948646935745,1.0075496277644447,1.0103299309365321
2020-03-12,1834.329956,57600,0.9454802175702866,0.9241524878911787,0.850563915534958,0.8632310941103692,0.9997049481923738,0.9998350966420468,1.0070062107457702,1.009875949772113
2020-03-13,1771.439941,57420,0.93908438034252,0.9022670940824026,0.8239417829878836,0.8346148055436553,0.9973771516909555,0.9969269232772541,1.003710161647679,1.0066509614857833
2020-03-16,1714.859985,57510,0.9328175092494064,0.8864359469408111,0.8004376997101714,0.8091182216160309,0.9993570472830904,0.998576191137658,1.0051267113311972,1.0081499866333792
2020-03-17,1672.439941,57590,0.9394315746270514,0.8800532224323641,0.7838280590954526,0.7904056895509224,1.000729825536943,0.9999565915700829,1.0063534177834539,1.009454322367196
2020-03-18,1591.199951,57580,0.9268114777912849,0.8584505829623039,0.7492855777994614,0.7534964203277398,1.0006951685783803,0.9999392186998012,1.0060102033685094,1.0091854335878108
2020-03-19,1457.640015,57160,0.8879840614765057,0.8139557110378842,0.6903968395733256,0.6920074630892302,0.9949174963447748,0.9934908620045364,0.9986140066853795,1.0017927755890417
2020-03-20,1566.150024,57300,0.978563661426835,0.8983293205039011,0.745546563897099,0.7450171196910788,0.9977711221007174,0.996530404612214,1.0009534970048548,1.0041994992146477
