,date,open,high,low,close,volume,change,bps,per,pbr,eps,div,dps,inst,ind,foreign,roe,open_lastclose_ratio,high_close_ratio,low_close_ratio,diffratio,volume_lastvolume_ratio,close_ma5_ratio,close_ma10_ratio,close_ma20_ratio,close_ma60_ratio,close_ma120_ratio,volume_ma5_ratio,volume_ma10_ratio,volume_ma20_ratio,volume_ma60_ratio,volume_ma120_ratio,ind_diff,ind_ma5,ind_ma10,ind_ma20,ind_ma60,ind_ma120,inst_diff,inst_ma5,inst_ma10,inst_ma20,inst_ma60,inst_ma120,foreign_diff,foreign_ma5,foreign_ma10,foreign_ma20,foreign_ma60,foreign_ma120
10,20170116,40250,40350,39300,39650,66443,-0.014906832298136607,33775,16.54,1.17,2397,2.52,1000,11450350,811174550,-802128800,0.07073760320947133,1.0,1.0176544766708702,0.9911727616645649,1.0151324085750315,1.4574349075434863,1.005579507988841,1.009676597911892,,,,0.9468618447866521,0.9216699172421063,,,,1212049950.0,-33952490.0,578602080.0,,,,-111090250.0,-77517430.0,-527308290.0,,,,-1089272600.0,-77517430.0,-527308290.0,,,
11,20170117,39450,40150,39450,39800,39859,0.003783102143757988,33775,16.6,1.18,2397,2.51,1000,413993900,-405532850,11970700,0.07108433418963328,0.9949558638083228,1.0087939698492463,0.9912060301507538,0.9912060301507538,0.5998976566380205,1.003024193548387,1.0118215329858904,,,,0.6510631903223383,0.6237568758166866,,,,-1216707400.0,-373358800.0,264161845.0,,,,402543550.0,148263840.0,-276661930.0,,,,814099500.0,148263840.0,-276661930.0,,,
12,20170118,39800,40000,39350,39950,35873,0.0037688442211054607,33775,16.67,1.18,2397,2.5,1000,501450,-87432500,91196550,0.07078583968493776,1.0,1.0012515644555695,0.9849812265331664,0.9962453066332916,0.8999974911563261,1.0010022550739164,1.0130594649423101,,,,0.5965510360195563,0.581009839251731,,,,318100350.0,-419467490.0,174759150.0,,,,-413492450.0,226498630.0,-168075895.0,,,,79225850.0,226498630.0,-168075895.0,,,
13,20170119,39950,40300,39800,40150,56668,0.005006257822277815,33775,16.75,1.19,2397,2.49,1000,775534800,-626959700,-73603200,0.07104477953554979,1.0,1.00373599003736,0.9912826899128269,0.9950186799501868,1.5796838848158783,1.0047547547547548,1.015684290412345,,,,1.159177194475355,0.939786529748519,,,,-539527200.0,-141925180.0,-3546545.0,,,,775033350.0,264804220.0,14368930.0,,,,-164799750.0,264804220.0,14368930.0,,,
14,20170120,40250,40250,39950,40200,30302,0.001245330012453305,33775,16.77,1.19,2397,2.49,1000,722968750,-512512050,-213230500,0.07096005111630645,1.0024906600249066,1.0012437810945274,0.9937810945273632,1.0012437810945274,0.5347285946213031,1.0062578222778473,1.0145110410094638,,,,0.6611970586309979,0.5155821439995644,,,,114447650.0,-164252510.0,-112987550.0,,,,-52566050.0,384889850.0,138413485.0,,,,-139627300.0,384889850.0,138413485.0,,,
15,20170123,39900,40950,39900,40300,77571,0.0024875621890547706,33775,16.81,1.19,2397,2.48,1000,1071773700,-869105100,-210027600,0.07079119912078877,0.9925373134328358,1.0161290322580645,0.9900744416873449,0.9900744416873449,2.559930037621279,1.005489021956088,1.0137089674254811,,,,1.6142263175637712,1.3122449808164673,,,,-356593050.0,-500308440.0,-267130465.0,,,,348804950.0,596954520.0,259718545.0,,,,3202900.0,596954520.0,259718545.0,,,
16,20170124,40400,40650,39600,40050,40506,-0.006203473945409432,33775,16.71,1.19,2397,2.5,1000,273382100,376389850,-644016650,0.07121484483665223,1.0024813895781637,1.0149812734082397,0.9887640449438202,1.0087390761548065,0.5221796805507213,0.9980064789434339,1.0036336298709434,,,,0.8406524987547733,0.7404753330274374,,,,1245494950.0,-343923900.0,-358641350.0,,,,-798391600.0,568832160.0,358548000.0,,,,-433989050.0,568832160.0,358548000.0,,,
17,20170125,40300,40300,39500,39500,32133,-0.013732833957553092,33775,16.48,1.17,2397,2.53,1000,8683250,-46182900,33430650,0.07099514302698154,1.0062421972534332,1.0202531645569621,1.0,1.0202531645569621,0.7932898829802992,0.9865134865134865,0.9881175734834271,,,,0.6773969137364028,0.5974342288742215,,,,-422572750.0,-335673980.0,-377570735.0,,,,-264698850.0,570468520.0,398483575.0,,,,677447300.0,570468520.0,398483575.0,,,
18,20170126,39600,39700,39200,39350,32756,-0.0037974683544304,33775,16.42,1.17,2397,2.54,1000,-305210800,286420500,22366350,0.07125456498688525,1.0025316455696203,1.008894536213469,0.9961880559085133,1.0063532401524777,1.0193881679270531,0.9867101303911735,0.9857214428857716,,,,0.7679539358928672,0.7156652829364213,,,,332603400.0,-152997940.0,-147461560.0,,,,-313894050.0,354319400.0,309561810.0,,,,-11064300.0,354319400.0,309561810.0,,,
19,20170131,39000,42150,38950,42150,235783,0.0711562897077509,33775,17.58,1.25,2397,2.37,1000,3932825950,-5881229350,1829384200,0.07110352673492606,0.9911054637865311,1.0,0.9240806642941874,0.9252669039145908,7.198162168762975,1.046684877079712,1.0508601346297681,1.0614454797280282,,,2.815326126151943,3.6392218480183485,3.565500763658909,,,-6167649850.0,-1226741400.0,-695496955.0,-105671570.0,,,4238036750.0,996290840.0,690590345.0,85661042.5,,,1807017850.0,996290840.0,690590345.0,85661042.5,,
20,20170201,42150,42300,41650,42200,102253,0.0011862396204034287,33775,17.61,1.25,2397,2.37,1000,506714050,-585338650,87109350,0.0709823963657013,1.0,1.0023696682464456,0.9869668246445498,0.9988151658767772,0.43367418346530495,1.038130381303813,1.0454601758949584,1.059835499466315,,,1.1529753219779402,1.4955741080935612,1.4559711576660148,,,5295890700.0,-1169988110.0,-835148275.0,-128273097.5,,,-3426111900.0,883278910.0,740116715.0,106404212.5,,,-1742274850.0,883278910.0,740116715.0,106404212.5,,
21,20170202,42050,42700,42000,42400,78693,0.004739336492890933,33775,17.69,1.26,2397,2.36,1000,768379000,-817284900,55032100,0.07122668120199303,0.9964454976303317,1.0070754716981132,0.9905660377358491,0.9917452830188679,0.7695911122412057,1.0311284046692606,1.0436923076923077,1.0605302651325663,,,0.8169648974913728,1.089119188194946,1.1559300298996809,,,-231946250.0,-1408723060.0,-876323480.0,-306080817.5,,,261664950.0,982278290.0,775555225.0,249446647.5,,,-32077250.0,982278290.0,775555225.0,249446647.5,,
22,20170203,42500,42800,42000,42150,89101,-0.005896226415094352,33775,17.58,1.25,2397,2.37,1000,1478444900,-786312900,-644822450,0.07110352673492606,1.0023584905660377,1.0154211150652432,0.99644128113879,1.0083036773428233,1.1322608109997077,1.0120048019207684,1.0319500550863019,1.0500747384155455,,,0.8271752329247326,1.1485551055344008,1.2790923857532814,,,30972000.0,-1556749060.0,-946211520.0,-385726185.0,,,710065900.0,1276230620.0,923349570.0,377636837.5,,,-699854550.0,1276230620.0,923349570.0,377636837.5,,
23,20170206,42450,42850,42100,42700,78658,0.013048635824436605,33775,17.81,1.26,2397,2.34,1000,1249330900,-1005561750,-155624350,0.07074677094122722,1.00711743772242,1.0035128805620608,0.9859484777517564,0.9941451990632318,0.8827959282162938,1.0089792060491494,1.0389294403892944,1.05915912191492,,,0.6728795116409575,0.9859907039245082,1.1230888727704706,,,-219248850.0,-1815145510.0,-984071725.0,-493809135.0,,,-229114000.0,1587138960.0,970729180.0,492549055.0,,,489198100.0,1587138960.0,970729180.0,492549055.0,,
24,20170207,42750,43100,42100,42950,52532,0.005854800936768045,33775,17.92,1.27,2397,2.33,1000,761506900,-943502200,182424300,0.07087053464991705,1.0011709601873535,1.0034924330616997,0.980209545983702,0.9953434225844005,0.6678532380686008,1.0110640301318268,1.0380664652567977,1.0604938271604938,,,0.6546255704234655,0.640645084184364,0.7463469038367277,,,62059550.0,-827600080.0,-1027170740.0,-570079145.0,,,-487824000.0,952875150.0,974582995.0,556498240.0,,,338048650.0,952875150.0,974582995.0,556498240.0,,
25,20170208,42950,43600,42600,43550,73041,0.01396973224679865,33775,18.17,1.29,2397,2.3,1000,1109716200,-1026714950,-71686700,0.07099614539642417,1.0,1.0011481056257177,0.9781859931113662,0.9862227324913893,1.3904096550673875,1.0187134502923976,1.0443645083932853,1.0693020686268493,,,0.9816678986627243,0.8957074324059177,1.038555710698513,,,-83212750.0,-915875340.0,-1042931725.0,-655031095.0,,,348209300.0,1073475580.0,978377245.0,619047895.0,,,-254111000.0,1073475580.0,978377245.0,619047895.0,,
26,20170209,43550,43800,43100,43450,42407,-0.0022962112514350874,33775,18.13,1.29,2397,2.3,1000,-247730850,-53331500,301456700,0.0711527833344196,1.0,1.0080552359033372,0.9919447640966629,1.002301495972382,0.58059172245725,1.0114059590316573,1.0335394862036156,1.0604673866617853,,,0.6315471244031822,0.5188308168890705,0.621628515139433,,,973383450.0,-763084660.0,-1085903860.0,-722272605.0,,,-1357447050.0,870253610.0,926265950.0,642406975.0,,,373143400.0,870253610.0,926265950.0,642406975.0,,
27,20170210,43500,44200,43150,44050,124407,0.013808975834292303,33775,18.38,1.3,2397,2.27,1000,3282077900,-1958642600,-1363873750,0.0707290507244986,1.001150747986191,1.0034052213393871,0.9795686719636776,0.9875141884222475,2.9336430306317354,1.0163820950622982,1.0365925402988587,1.0682672486964957,,,1.6764408629681036,1.3676644705380532,1.7189448427993181,,,-1905311100.0,-997550600.0,-1277149830.0,-827360282.5,,,3529808750.0,1230980210.0,1253605415.0,826044495.0,,,-1665330450.0,1230980210.0,1253605415.0,826044495.0,,
28,20170213,44200,44250,43650,43700,44743,-0.007945516458569779,33775,18.23,1.29,2397,2.29,1000,464443050,-373645850,-90354700,0.07076247733697352,1.0034052213393871,1.0125858123569793,0.9988558352402745,1.011441647597254,0.35965018045608366,1.00367478180983,1.0179361751688796,1.0549185274592636,,,0.6635867469522143,0.48548313943521065,0.6487698993270588,,,1584996750.0,-871167420.0,-1343156465.0,-745309012.5,,,-2817634850.0,1074002640.0,1330570800.0,820066305.0,,,1273519050.0,1074002640.0,1330570800.0,820066305.0,,
29,20170214,43750,44100,42750,43950,63304,0.005720823798627039,33775,18.34,1.3,2397,2.28,1000,832415700,-794030350,-783050,0.07088331255813982,1.0011441647597255,1.0034129692832765,0.9726962457337884,0.9954493742889647,1.4148358402431664,1.00480109739369,1.0194850382741822,1.0562364816149965,,,0.9097964369276407,0.8450234202197456,0.9062634884072174,,,-420384500.0,-841273050.0,-834436565.0,-764966760.0,,,367972650.0,1088184400.0,1020529775.0,855560060.0,,,89571650.0,1088184400.0,1020529775.0,855560060.0,,
30,20170215,43950,44100,43450,43600,47067,-0.007963594994311762,33775,18.19,1.29,2397,2.29,1000,-135250700,147944700,-12694000,0.0709180847637728,1.0,1.011467889908257,0.9965596330275229,1.0080275229357798,0.7435075192720839,0.9965714285714286,1.0080924855491329,1.0428750822220894,,,0.7310174945950647,0.6782447802660987,0.6832905432919805,,,941975050.0,-606341120.0,-761108230.0,-798128252.5,,,-967666400.0,839191020.0,956333300.0,848225007.5,,,-11910950.0,839191020.0,956333300.0,848225007.5,,
31,20170216,43750,44000,42850,43800,54853,0.004587155963302836,33775,18.27,1.3,2397,2.28,1000,847942700,-464058500,-353460200,0.07115489613115951,1.003440366972477,1.004566210045662,0.978310502283105,0.9988584474885844,1.1654237576221131,0.9995435874030123,1.0094491818391333,1.0426709516157828,,,0.8202342287378803,0.8185634363159646,0.7877494074251195,,,-612003200.0,-688486520.0,-725785590.0,-801054535.0,,,983193400.0,1058325730.0,964289670.0,869922447.5,,,-340766200.0,1058325730.0,964289670.0,869922447.5,,
32,20170217,43550,44250,43100,43850,42197,0.0011415525114155667,33775,18.29,1.3,2397,2.28,1000,1012829950,-662162550,-350224900,0.07107708869963282,0.9942922374429224,1.0091220068415052,0.9828962371721779,0.9931584948688712,0.7692742420651559,1.0015989036089539,1.0066574839302111,1.039037971684142,,,0.8366975460414651,0.677092275625031,0.6032559552529531,,,-198104050.0,-429190510.0,-713370555.0,-829791037.5,,,164887250.0,604476140.0,917728175.0,920538872.5,,,3235300.0,604476140.0,917728175.0,920538872.5,,
33,20170220,43500,43850,43150,43700,33097,-0.0034207525655644,33775,18.23,1.29,2397,2.29,1000,169311250,-37434950,-132742300,0.07076247733697352,0.992018244013683,1.0034324942791761,0.9874141876430206,0.9954233409610984,0.7843448586392398,0.998172681589767,1.0009161704076959,1.0311467673430863,,,0.6880358226827098,0.5729613882502839,0.4812695033604672,,,624727600.0,-361948330.0,-616557875.0,-800314800.0,,,-843518700.0,545449780.0,809726210.0,890227695.0,,,217482600.0,545449780.0,809726210.0,890227695.0,,
34,20170221,43700,44550,43250,44450,78498,0.017162471395880896,33775,18.54,1.32,2397,2.25,1000,1142815550,-1000669650,-36185350,0.07119741383236718,1.0,1.0022497187851518,0.9730033745781778,0.983127109111361,2.371755748255129,1.0129899726526892,1.0146085368637296,1.0436109643716618,,,1.5348908146664997,1.3004668546455185,1.1028097780275359,,,-963234700.0,-403276190.0,-622274620.0,-824722680.0,,,973504300.0,607529750.0,847857075.0,911220035.0,,,96556950.0,607529750.0,847857075.0,911220035.0,,
35,20170222,44150,44450,43650,43650,49796,-0.017997750281214864,33775,18.21,1.29,2397,2.29,1000,-431733250,778694150,-370869300,0.07084019559873846,0.9932508436445444,1.0183276059564719,1.0,1.011454753722795,0.6343601110856327,0.9945317840054683,0.9961204929256048,1.0208138447146866,,,0.9633920314501183,0.8580058548957645,0.7134991850697616,,,1779363800.0,-277126300.0,-441733710.0,-742332717.5,,,-1574548800.0,548233240.0,693712130.0,836044687.5,,,-334683950.0,548233240.0,693712130.0,836044687.5,,
36,20170223,44150,44150,43000,43050,74200,-0.013745704467353903,33775,17.96,1.27,2397,2.32,1000,-871379700,703840750,162689550,0.07071269381550743,1.011454753722795,1.0255516840882695,0.9988385598141696,1.0255516840882695,1.490079524459796,0.9842249657064472,0.9833257195066241,1.00326264274062,,,1.3355508517286565,1.2120974513282432,1.0381114206946533,,,-74853400.0,-43546450.0,-366016485.0,-725960172.5,,,-439646450.0,204368760.0,631347245.0,778806597.5,,,533558850.0,204368760.0,631347245.0,778806597.5,,
37,20170224,43100,43600,43000,43350,42401,0.006968641114982521,33775,18.09,1.28,2397,2.31,1000,57111650,-219482500,213045050,0.07075732290711832,1.0011614401858304,1.0057670126874279,0.9919261822376009,0.994232987312572,0.5714420485175202,0.9933547204399633,0.9917638984214139,1.0057421263267792,,,0.7626298598520821,0.7997834599627279,0.5889898992003678,,,-923323250.0,44989560.0,-192100475.0,-734625152.5,,,928491350.0,13225100.0,308850620.0,781228017.5,,,50355500.0,13225100.0,308850620.0,781228017.5,,
38,20170227,43850,43850,43150,43300,24199,-0.0011534025374856371,33775,18.06,1.28,2397,2.31,1000,283886750,-255128700,-14682750,0.07087485998835939,1.011534025374856,1.01270207852194,0.9965357967667436,1.01270207852194,0.5707176717530247,0.9940312213039486,0.9915273643233341,1.0,,,0.44963841631548823,0.4748514556172147,0.3381566903991671,,,-35646200.0,1450810.0,-180248760.0,-761702612.5,,,226775100.0,36140200.0,290794990.0,810682895.0,,,-227727800.0,36140200.0,290794990.0,810682895.0,,
39,20170228,43350,43700,42400,43300,62946,0.0,33775,18.06,1.28,2397,2.31,1000,400548250,-291891050,-128597050,0.07087485998835939,1.0011547344110854,1.0092378752886837,0.9792147806004619,1.0011547344110854,2.601181867019298,0.9993076390491576,0.993005389290219,0.9986738165253993,,,1.2413327969330525,1.2360433104109148,1.0004187880892534,,,-36762350.0,143206530.0,-130034830.0,-482235697.5,,,116661500.0,-112313260.0,247608245.0,634069010.0,,,-113914300.0,-112313260.0,247608245.0,634069010.0,,
40,20170302,43550,43950,42800,42800,67925,-0.011547344110854452,33775,17.86,1.27,2397,2.34,1000,-952719350,437670350,525654300,0.07110862155243637,1.0057736720554273,1.0268691588785046,1.0,1.0175233644859814,1.0790995456422965,0.9916589434661723,0.9833429063756461,0.9864592336502449,,,1.2501334334544358,1.2813330013280213,1.1098266840404718,,,729561400.0,75001770.0,-101062265.0,-431085247.5,,,-1353267600.0,-216510480.0,165861380.0,561097340.0,,,654251350.0,-216510480.0,165861380.0,561097340.0,,
41,20170303,42600,43850,42550,43700,80446,0.02102803738317749,33775,18.23,1.29,2397,2.29,1000,562632000,-1883047850,1317961050,0.07076247733697352,0.9953271028037384,1.0034324942791761,0.9736842105263158,0.9748283752860412,1.1843356643356644,1.0094710094710095,1.0042514075606113,1.0056958748058225,,,1.4473026119309003,1.4476385852205758,1.3125276346080739,,,-2320718200.0,-442375950.0,-242961200.0,-484373395.0,,,1515351350.0,70291860.0,137330310.0,550809990.0,,,792306750.0,70291860.0,137330310.0,550809990.0,,
42,20170306,43600,43700,42950,43350,48200,-0.008009153318077833,33775,18.09,1.28,2397,2.31,1000,249732400,174529850,-424262250,0.07075732290711832,0.9977116704805492,1.0080738177623991,0.9907727797001153,1.0057670126874279,0.599159684757477,1.0013860013860014,0.9973541930288738,0.9962654409652398,,,0.8494409902860608,0.858097089591033,0.813559093168551,,,2057577700.0,-363573480.0,-159291960.0,-436331257.5,,,-312899600.0,108816010.0,61020555.0,489374365.0,,,-1742223300.0,108816010.0,61020555.0,489374365.0,,
43,20170307,43350,45100,43350,45000,146894,0.03806228373702414,33775,18.77,1.33,2397,2.22,1000,2150226800,-3183534800,999226750,0.07085775401786597,1.0,1.0022222222222221,0.9633333333333334,0.9633333333333334,3.0475933609958505,1.031400412560165,1.032228466567267,1.0314595152140278,,,1.8072099426442692,2.174580499034056,2.344390509379142,,,-3358064650.0,-949254700.0,-473901945.0,-545229910.0,,,1900494400.0,482084020.0,259112110.0,534419160.0,,,1423489000.0,482084020.0,259112110.0,534419160.0,,
