Date,open,high,low,close,volume,change,bps,per,pbr,eps,div,dps,inst,ind,foreign,open_lastclose_ratio,high_close_ratio,low_close_ratio,diffratio,volume_lastvolume_ratio,close_ma5_ratio,close_ma10_ratio,close_ma20_ratio,close_ma60_ratio,close_ma120_ratio,volume_ma5_ratio,volume_ma10_ratio,volume_ma20_ratio,volume_ma60_ratio,volume_ma120_ratio,ind_diff,ind_ma5,ind_ma10,ind_ma20,ind_ma60,ind_ma120,inst_diff,inst_ma5,inst_ma10,inst_ma20,inst_ma60,inst_ma120,foreign_diff,foreign_ma5,foreign_ma10,foreign_ma20,foreign_ma60,foreign_ma120
2018-06-28,6730,6960,6720,6820,515279,0.017910447761193993,2629,24.71,2.59,276,1.1,75,68506560,-194729520,128097000,1.0044776119402985,1.0205278592375366,0.9853372434017595,0.9868035190615836,1.8120338297610465,1.0130718954248366,1.0123200237494434,0.9848375451263538,0.9492657804996868,0.8740601503759399,1.3591204842284956,1.1773212143284895,1.0550199024624753,0.7721715398609156,0.4900849808511439,-312300300.0,-162892020.0,145348327.0,152138017.0,321841105.1666667,40162563.583333336,248914010.0,47762214.0,9320385.0,-91327080.0,-284475128.3333333,-128479892.25,248914010.0,47762214.0,9320385.0,-91327080.0,-284475128.3333333,-128479892.25
2018-06-29,6980,6980,6680,6810,375970,-0.0014662756598240456,2629,24.67,2.59,276,1.1,75,-108674550,728365360,-624783810,1.0234604105571847,1.0249632892804699,0.9809104258443465,1.0249632892804699,0.7296435523279622,1.0047211566833874,1.013996426444312,0.9845308659823623,0.9500558035714286,0.874319278461917,0.9665331750423277,0.862507808497894,0.7957175971855593,0.5652531604081935,0.35987112331360166,923094880.0,37956550.0,181186637.0,115672866.5,333242670.3333333,45332026.5,-177181110.0,-6107034.0,-1670024.0,-82405349.5,-288755974.0,-125404403.58333333,-177181110.0,-6107034.0,-1670024.0,-82405349.5,-288755974.0,-125404403.58333333
2018-07-02,6860,6860,6600,6600,422635,-0.03083700440528636,2629,23.91,2.51,276,1.14,75,9438500,222004480,-233787180,1.0073421439060206,1.0393939393939393,1.0,1.0393939393939393,1.124118945660558,0.9801009801009801,0.9858103061986557,0.9572847922256872,0.9231629988810146,0.8490839113607856,1.0998289238859624,1.0451031230565127,0.8858668876189814,0.6376965760219689,0.408632324621537,-506360880.0,141678770.0,93132687.0,128951789.0,344273482.1666667,30320345.166666668,118113050.0,-30578322.0,36786414.0,-82209951.5,-287514602.8333333,-119664425.41666667,118113050.0,-30578322.0,36786414.0,-82209951.5,-287514602.8333333,-119664425.41666667
2018-07-03,6610,6810,6610,6790,472316,0.028787878787878807,2629,24.6,2.58,276,1.1,75,635788750,-989197710,354094250,1.0015151515151515,1.0029455081001473,0.9734904270986745,0.9734904270986745,1.117550605132088,1.006820877817319,1.0113196306225798,0.9861302737637063,0.9520248638796064,0.8748684690875512,1.1405485942242817,1.205567424491869,0.987614979121318,0.7105351202768991,0.4606555189791837,-1211202190.0,-23197322.0,-93847562.0,75086577.5,327025962.3333333,7426086.833333333,626350250.0,84930362.0,104167525.0,-51970129.5,-272816742.8333333,-101417092.16666667,626350250.0,84930362.0,104167525.0,-51970129.5,-272816742.8333333,-101417092.16666667
2018-07-04,6830,7140,6820,7060,1172483,0.0397643593519883,2629,25.58,2.69,276,1.06,75,112618630,-1044242800,954009410,1.0058910162002945,1.0113314447592068,0.9660056657223796,0.9674220963172805,2.482412198612793,1.0357981220657277,1.0467012601927355,1.0255665310865776,0.9911090313523632,0.9108697989463499,1.9814272093360459,2.479165719565817,2.3075177558439592,1.7372866005105252,1.1422638204600877,-55045090.0,-255560038.0,-137288516.0,41986367.0,299354836.3333333,-3939042.5833333335,-523170120.0,143535578.0,67369718.0,-37172143.0,-269531785.8333333,-93149094.66666667,-523170120.0,143535578.0,67369718.0,-37172143.0,-269531785.8333333,-93149094.66666667
2018-07-05,7120,7120,6900,6990,528227,-0.009915014164305958,2629,25.33,2.66,276,1.07,75,211728710,517734840,-759916540,1.0084985835694051,1.0185979971387698,0.9871244635193133,1.0185979971387698,0.4505199648950134,1.0204379562043795,1.0293034899131204,1.01628380343123,0.9826846927060147,0.9029160701406904,0.8887829612761478,1.0852645171364206,1.0227308810215479,0.7828347528753912,0.51847676785946,1561977640.0,-113067166.0,-137979593.0,58501118.0,301948355.3333333,-15636696.75,99110080.0,172180008.0,109971111.0,-18302587.0,-267988363.5,-74796293.25,99110080.0,172180008.0,109971111.0,-18302587.0,-267988363.5,-74796293.25
2018-07-06,7010,7020,6810,7000,382148,0.0014306151645206988,2629,25.36,2.66,276,1.07,75,350774670,160738230,-512870400,1.0028612303290414,1.002857142857143,0.9728571428571429,1.0014285714285713,0.7234541210502303,1.016260162601626,1.0244402165959314,1.0197392381091122,0.9855915896184353,0.9052894770875545,0.6416596900607123,0.7762896754862627,0.7991308321930438,0.5654609634574026,0.37728561530305055,-356996610.0,-226592592.0,-94318021.0,79326614.5,306417371.5,-21468038.416666668,139045960.0,264069852.0,128981409.0,-380170.0,-260694312.0,-63574916.583333336,139045960.0,264069852.0,128981409.0,-380170.0,-260694312.0,-63574916.583333336
2018-07-09,6930,7090,6900,7030,464059,0.004285714285714226,2629,25.47,2.67,276,1.07,75,39271660,-255845760,243214500,0.99,1.0085348506401137,0.9815078236130867,0.9857752489331437,1.2143436574311524,1.0080298250645254,1.0256784359498103,1.0251549398468829,0.9910248578544241,0.9103367900808252,0.7685047825060206,0.9392766060802332,0.9709837273146412,0.6877441517871775,0.4598594637409009,-416583990.0,-322162640.0,-90241935.0,51543282.0,302914544.6666667,-25479264.083333332,-311503010.0,270036484.0,119729081.0,2941198.5,-257584947.66666666,-62328588.416666664,-311503010.0,270036484.0,119729081.0,2941198.5,-257584947.66666666,-62328588.416666664
2018-07-10,7090,7170,7050,7100,450804,0.009957325746799528,2629,25.72,2.7,276,1.06,75,104116520,-495187240,388237320,1.0085348506401137,1.0098591549295775,0.9929577464788732,0.9985915492957746,0.9714368216110452,1.0090960773166573,1.0304789550072568,1.0363450591154575,1.001857905505515,0.9204740657512342,0.7519112018763588,0.8894604605975275,0.9349808318186004,0.6726237070299148,0.44862765862667237,-239341480.0,-223360546.0,-123278934.0,37072210.0,294948277.5,-36158212.5,64844860.0,163702038.0,124316200.0,5642095.5,-260450588.5,-58484540.25,64844860.0,163702038.0,124316200.0,5642095.5,-260450588.5,-58484540.25
2018-07-11,7100,7180,7020,7050,563129,-0.007042253521126751,2629,25.54,2.68,276,1.06,75,-344982890,397493150,-339347180,1.0,1.0184397163120567,0.9957446808510638,1.0070921985815602,1.2491659346412187,1.0022746659084447,1.0180505415162455,1.0300993571011106,0.9959502731211151,0.915138731137433,1.178899641470511,1.053158283539522,1.140929671011404,0.8350271010244755,0.5639284955263201,892680390.0,64986644.0,-95286697.0,61584165.5,302236383.1666667,-23375166.666666668,-449099410.0,72181734.0,107858656.0,-12039919.0,-263069055.16666666,-58601880.666666664,-449099410.0,72181734.0,107858656.0,-12039919.0,-263069055.16666666,-58601880.666666664
